days_ahead,Bull,Sideways,Unknown,Bear,High-Volatility
1,0.00015356757252074356,0.05923730598776261,0.9404655148939032,0.00014361096561858126,5.801948848447906e-10
2,0.0004075335408094883,0.08095657470411756,0.9182640257016264,0.00037058723604707796,1.2788173994954555e-06
3,0.0007570321284159727,0.10137223228819725,0.8971951842212257,0.0006709855439100456,4.565818251013847e-06
4,0.001196893661441133,0.1205594086348261,0.8771972127000207,0.0010359898544747008,1.0495149237399155e-05
5,0.0017218884960945211,0.13858891455386446,0.8582118088879096,0.0014577755513652995,1.961251076621211e-05
6,0.0023267854052408613,0.15552749507728622,0.8401839444313388,0.0019293907015861481,3.238438454801444e-05
7,0.0030063991284236848,0.17143806714031518,0.8230616756071456,0.002444652272636512,4.9205851479101515e-05
8,0.0037556287043765055,0.18637994270081468,0.806795965562044,0.0029980553667399703,7.040766602500346e-05
9,0.004569487979923748,0.20040903827650774,0.7913405172893722,0.0035846937908972365,9.626266329940772e-05
10,0.0054431294944946975,0.21357807180303878,0.7766516166343369,0.0042001905017030935,0.00012699156642684186
11,0.006371862771158578,0.22593674764648786,0.7626879846730674,0.004840636655067985,0.00016276825421849384
12,0.007351167899612365,0.2375319305409274,0.7494106388599241,0.0055025381569907645,0.0002037245425457591
13,0.00837670517085895,0.24840780916428487,0.7367827623822362,0.006182768755670855,0.0002499545269496274
14,0.009444321414751999,0.2586060500135364,0.7247695812024222,0.00687852884041476,0.0003015185288750362
15,0.010550053597858471,0.26816594219257045,0.713338248304701,0.007587309221490362,0.0003584466833800636
16,0.011690130158208894,0.27712453368245976,0.70245773469768,0.008306859259487813,0.00042074220216391315
17,0.012860970483743408,0.2855167596239464,0.6920987267553467,0.009035158794745484,0.0004883843422185119
18,0.014059182881122189,0.29337556310530805,0.6822335295076611,0.009770393398630986,0.0005613311072782383
19,0.01528156132975579,0.30073200891511515,0.6728359755183075,0.010510932530351923,0.0006395217064702979
20,0.01652508127130068,0.30761539068841187,0.6638813390114359,0.011255310236741733,0.0007228787921105405
21,0.017786894646484322,0.31405333184630824,0.6553462549316077,0.012002208079192885,0.0008113104964076406
22,0.01906432435812906,0.32007188070262327,0.647208642641828,0.012750440012521387,0.0009047122848990536
23,0.020354858310904226,0.3256956000868728,0.6394476339836591,0.013498938975848874,0.0010029686427157417
24,0.021656143154018287,0.3309476518103627,0.6320435054411053,0.014246744986280693,0.0011059546082338007
25,0.022965977832219476,0.33584987628127244,0.624977614166364,0.014992994552847453,0.0012135371672974983
26,0.024282307032629288,0.3404228675552478,0.6182323376407634,0.015736911251390116,0.0013255765199703202
27,0.025603214599677914,0.34468604409003406,0.6117910167583556,0.016477797321261978,0.0014419272306713691
28,0.026926916977387885,0.34865771545596025,0.6056379021327922,0.017215026162291674,0.0015624392715689111
29,0.02825175672715441,0.3523551452385213,0.5997581034403632,0.01794803562574412,0.0016869589682179335
30,0.02957619615973154,0.35579461035480686,0.5941375416235,0.018676322006329776,0.0018153298556328012
31,0.03089881111212178,0.3589914569920051,0.5887629037896981,0.019399434653906606,0.001947393452269401
32,0.03221828489328404,0.3619601533635957,0.5836216006507577,0.02011697113361873,0.002082989958744713
