date,regime,state_id,state_0,state_1,state_2,state_3,state_4
2010-10-18,Unknown,2,2.2306042106654423e-67,1.5468107546761856e-190,1.0,0.0,0.0
2010-10-19,Unknown,2,3.4742984873492584e-40,3.352724002210937e-05,0.9999664727601895,0.0,0.0
2010-10-20,Unknown,2,5.008777886500757e-07,1.0781524521450978e-05,0.9999887175981533,0.0,0.0
2010-10-21,Unknown,2,3.3240504340011895e-07,9.624563605896924e-06,0.9999900430307241,0.0,0.0
2010-10-22,Unknown,2,1.7518937830909287e-07,1.9976936304274388e-05,0.9999798478741134,0.0,0.0
2010-10-25,Unknown,2,4.139912803543865e-08,1.081079636215033e-06,0.9999988775204589,0.0,0.0
2010-10-26,Unknown,2,1.2001895232389079e-09,1.3130552238999611e-06,0.9999986857446398,0.0,0.0
2010-10-27,Unknown,2,1.0300897699726795e-10,1.1085600453523355e-06,0.9999988913374871,0.0,0.0
2010-10-28,Unknown,2,5.210479584929959e-11,1.5993411100132056e-06,0.9999984006075522,0.0,0.0
2010-10-29,Unknown,2,7.136253023765302e-11,2.965572810213445e-06,0.9999970343549968,0.0,0.0
2010-11-01,Unknown,2,1.6764278845915887e-10,4.070684886297048e-06,0.9999959291481996,0.0,0.0
2010-11-02,Unknown,2,7.074003990439864e-10,1.880878907047684e-05,0.9999811905040629,0.0,0.0
2010-11-03,Unknown,2,2.55753449468983e-10,3.990972886007243e-07,0.9999996006464131,0.0,0.0
2010-11-04,Unknown,2,2.3195308435959804e-10,1.7324033934977914e-05,0.9999826757348276,0.0,0.0
2010-11-05,Unknown,2,1.2003988968571583e-09,7.827465178790276e-06,0.9999921713349009,0.0,0.0
2010-11-08,Unknown,2,3.195154219883433e-10,8.003365869205386e-06,0.9999919963149451,0.0,0.0
2010-11-09,Unknown,2,1.8843917599404928e-10,1.0735603808423865e-05,0.9999892642075463,0.0,0.0
2010-11-10,Unknown,2,1.2223087627950316e-10,1.025231225368564e-05,0.999989747566166,0.0,0.0
2010-11-11,Unknown,2,2.372388499949775e-10,0.00031003165853910416,0.9996899681039672,0.0,0.0
2010-11-12,Unknown,2,4.734083619460849e-09,0.04885788775858125,0.9511421075076165,0.0,0.0
2010-11-15,Unknown,2,3.389249363975355e-07,0.20019138514673093,0.7998082759275236,0.0,0.0
2010-11-16,Sideways,1,1.6427039163609097e-06,0.9097366740434183,0.09026168325228744,0.0,0.0
2010-11-17,Sideways,1,3.841436996756691e-06,0.9213535090095853,0.07864264955381892,0.0,0.0
2010-11-18,Sideways,1,2.9871391348243715e-06,0.8964196276234728,0.10357738523715597,0.0,0.0
2010-11-19,Sideways,1,4.3136823929839223e-07,0.8701392142331899,0.1298603543986452,0.0,0.0
2010-11-22,Sideways,1,2.476576702806895e-07,0.8835797331176741,0.11642001922380635,0.0,0.0
2010-11-23,Sideways,1,4.335670136047645e-07,0.9952089951887123,0.004790571244139721,0.0,0.0
2010-11-24,Sideways,1,1.2807441730300406e-07,0.9997058651039316,0.00029400682130234696,0.0,0.0
2010-11-26,Sideways,1,1.8645956636283226e-07,0.9999624275734301,3.7385966554054535e-05,0.0,0.0
2010-11-29,Sideways,1,1.523751038069979e-07,0.9999880463006373,1.1801325165878728e-05,0.0,0.0
2010-11-30,Sideways,1,1.6637956789236681e-07,0.9999946264123305,5.207208059083591e-06,0.0,0.0
2010-12-01,Sideways,1,7.044632837559537e-08,0.9999998998027927,2.975156192215046e-08,0.0,0.0
2010-12-02,Sideways,1,1.1826194061440494e-07,0.9999998736948408,8.042897745342281e-09,0.0,0.0
2010-12-03,Sideways,1,5.7016748481956115e-08,0.999999916155506,2.6827800647969663e-08,0.0,0.0
2010-12-06,Sideways,1,2.1817072576538094e-07,0.9999995729086552,2.0892077544770604e-07,0.0,0.0
2010-12-07,Sideways,1,5.17518124947742e-07,0.9999994809060337,1.575595113332437e-09,0.0,0.0
2010-12-08,Sideways,1,2.5300319149987854e-07,0.9999913263794581,8.420617340684775e-06,0.0,0.0
2010-12-09,Sideways,1,1.4882651644167623e-07,0.9998014235490474,0.0001984276242910374,0.0,0.0
2010-12-10,Sideways,1,1.7453979185479413e-07,0.9995664429192735,0.00043338254052235713,0.0,0.0
2010-12-13,Sideways,1,2.015228464422139e-07,0.9984884134310137,0.0015113850468726159,0.0,0.0
2010-12-14,Sideways,1,2.1656300598041292e-07,0.9905101418713526,0.009489641565065961,0.0,0.0
2010-12-15,Sideways,1,1.267262468929782e-06,0.96504489061006,0.03495384212656762,0.0,0.0
2010-12-16,Sideways,1,1.1985911947962962e-06,0.7979337008542045,0.20206510055374063,0.0,0.0
2010-12-17,Sideways,1,1.8613755051488862e-06,0.5362694721123223,0.46372866651210154,0.0,0.0
2010-12-20,Unknown,2,3.4803185829405357e-07,0.09417156092901499,0.905828091039137,0.0,0.0
2010-12-21,Unknown,2,4.2419247059019946e-08,0.017833399870924665,0.9821665577094835,0.0,0.0
2010-12-22,Unknown,2,1.6173259505894188e-08,0.006760189340179499,0.9932397944859939,0.0,0.0
2010-12-23,Unknown,2,7.58351229862137e-09,0.0019229660048857762,0.9980770264119494,0.0,0.0
2010-12-27,Unknown,2,5.338122949613908e-10,0.00012805159348380652,0.9998719478729132,0.0,0.0
2010-12-28,Unknown,2,6.224698635715375e-11,5.32119577939361e-05,0.9999467879794787,0.0,0.0
2010-12-29,Unknown,2,1.730949850465587e-11,4.2822324019109826e-05,0.9999571776590029,0.0,0.0
2010-12-30,Unknown,2,5.406226754784838e-11,0.0001348793968346837,0.9998651205499421,0.0,0.0
2010-12-31,Unknown,2,2.268383712971179e-11,3.559006827801278e-06,0.9999964409698474,0.0,0.0
2011-01-03,Unknown,2,3.3717113794330864e-13,7.48612647065371e-07,0.9999992513879152,0.0,0.0
2011-01-04,Unknown,2,8.021728682426784e-14,9.20873849032879e-07,0.9999990791261245,0.0,0.0
2011-01-05,Unknown,2,7.745148083112888e-14,8.809537344781659e-07,0.99999911904563,0.0,0.0
2011-01-06,Unknown,2,1.116225804435884e-13,1.6797084073484944e-06,0.9999983202920258,0.0,0.0
2011-01-07,Unknown,2,3.4456975726249005e-13,2.853206262761385e-06,0.9999971467936807,0.0,0.0
2011-01-10,Unknown,2,3.0346138379075284e-13,1.8206776361775141e-06,0.9999981793224128,0.0,0.0
