days_ahead,max_prob,kl_div,entropy,top_regime,is_useful
1,0.9404655148939032,0.638209422534965,0.22776202422268682,Unknown,True
2,0.9182640257016264,0.5823543213281931,0.28793884156814686,Unknown,True
3,0.8971951842212257,0.5348920694275424,0.33976496427481945,Unknown,True
4,0.8771972127000207,0.49377168166366053,0.38528319236327324,Unknown,True
5,0.8582118088879096,0.4576777872273991,0.42580147626991105,Unknown,True
6,0.8401839444313388,0.4256898463436459,0.46223362245161875,Unknown,True
7,0.8230616756071456,0.39712660177381065,0.49525477311466815,Unknown,True
8,0.806795965562044,0.3714639544682462,0.5253834696334116,Unknown,True
9,0.7913405172893722,0.3482871314014398,0.5530294306562855,Unknown,True
10,0.7766516166343369,0.32726075545135025,0.5785234341928336,Unknown,True
11,0.7626879846730674,0.3081090607842791,0.6021370594838485,Unknown,True
12,0.7494106388599241,0.2906022350193584,0.6240963067382921,Unknown,True
13,0.7367827623822362,0.2745466540407193,0.6445913283085927,Unknown,True
14,0.7247695812024222,0.259777695058589,0.663783585214001,Unknown,True
15,0.713338248304701,0.2461543176911106,0.6818112388131052,Unknown,True
16,0.70245773469768,0.233554893670274,0.698793296648935,Unknown,True
17,0.6920987267553467,0.22187394090566112,0.7148328564066878,Unknown,True
18,0.6822335295076611,0.21101952704399937,0.730019682560659,Unknown,True
19,0.6728359755183075,0.2009111782165599,0.7444322797684719,Unknown,True
20,0.6638813390114359,0.19147817545061588,0.7581395803175026,Unknown,True
21,0.6553462549316077,0.18265815301571126,0.771202331160833,Unknown,True
22,0.647208642641828,0.17439593506106507,0.7836742440180116,Unknown,True
23,0.6394476339836591,0.16664256254564935,0.7956029563911966,Unknown,True
24,0.6320435054411053,0.15935447374311157,0.807030840084502,Unknown,True
25,0.624977614166364,0.15249280986880087,0.8179956855648942,Unknown,True
26,0.6182323376407634,0.14602282352089277,0.8285312843718731,Unknown,True
27,0.6117910167583556,0.1399133722573902,0.8386679271652974,Unknown,True
28,0.6056379021327922,0.13413648316217458,0.8484328314797229,Unknown,True
29,0.5997581034403632,0.12866697697749657,0.8578505105385051,Unknown,True
30,0.5941375416235,0.12348214250389601,0.8669430923652834,Unknown,True
31,0.5887629037896981,0.118561453640051,0.8757305967659322,Unknown,True
32,0.5836216006507577,0.11388632276259167,0.8842311764326366,Unknown,True
33,0.578701726356538,0.10943988520911188,0.892461327363919,Unknown,True
34,0.5739920205861085,0.10520681048576443,0.9004360729410011,Unknown,True
35,0.5694818327673136,0.10117313651851444,0.9081691253073243,Unknown,True
36,0.5651610883033819,0.09732612383822331,0.9156730271306026,Unknown,True
37,0.5610202566923439,0.09365412706016651,0.9229592763595528,Unknown,True
38,0.557050321431711,0.09014648140839016,0.9300384362004606,Unknown,True
39,0.5532427516071408,0.08679340236010619,0.9369202322164506,Unknown,True
40,0.5495894750697022,0.08358589675732178,0.9436136381825274,Unknown,True
41,0.5460828531118797,0.08051568396180375,0.950126952102497,Unknown,True
42,0.5427156565576448,0.07757512582296322,0.9564678636021212,Unknown,True
43,0.5394810431868077,0.07475716439248538,0.9626435137501506,Unknown,True
44,0.5363725364184392,0.07205526645948154,0.9686605482202815,Unknown,True
45,0.5333840051824691,0.06946337409962691,0.9745251645886169,Unknown,True
46,0.530509644912623,0.06697586053445766,0.9802431544595698,Unknown,True
47,0.5277439595976726,0.06458749068539749,0.9858199410257171,Unknown,True
48,0.5250817448315689,0.062293385883406105,0.9912606125916555,Unknown,True
49,0.5225180718064043,0.06008899226119195,0.9965699525266182,Unknown,True
50,0.5200482721953378,0.057970052412256855,1.0017524660539954,Unknown,True
51,0.5176679238756122,0.055932579950885165,1.0068124042366615,Unknown,True
52,0.5153728374446161,0.0539728366506404,1.0117537854741336,Unknown,True
53,0.5131590434846077,0.0520873118768758,1.016580414790139,Unknown,True
54,0.5110227805342205,0.05027270406195373,1.0212959011564458,Unknown,True
55,0.5089604837272371,0.048525904000961746,1.0259036730701228,Unknown,True
56,0.5069687740613448,0.046843979771239136,1.0304069925762487,Unknown,True
57,0.5050444482616832,0.04522416310146633,1.0348089679059922,Unknown,True
58,0.5031844692059805,0.04366383703581796,1.0391125648805526,Unknown,True
59,0.501385956879935,0.04216052475607622,1.0433206172143203,Unknown,True
60,0.49964617983326487,0.040711879439954426,1.0474358358355476,Unknown,True
61,0.4979625471085059,0.03931567504742795,1.0514608173294886,Unknown,True
62,0.4963326006162071,0.037969797938853675,1.0553980515972112,Unknown,True
63,0.49475400793164825,0.03667223923925306,1.0592499288128931,Unknown,True
64,0.4932245554895994,0.03542108787251523,1.0630187457532039,Unknown,True
65,0.4917421421549578,0.03421452419759297,1.066706711564241,Unknown,True
66,0.4903047731483373,0.033050814186131344,1.0703159530242738,Unknown,True
67,0.48891055430685704,0.03192830408750909,1.0738485193541536,Unknown,True
68,0.4875576866614817,0.03084541553308027,1.0773063866215682,Unknown,True
69,0.48624446131330695,0.029800641036557572,1.080691461780307,Unknown,True
70,0.48496925459216894,0.02879253985206419,1.0840055863812135,Unknown,True
71,0.4837305234818844,0.027819734155454565,1.0872505399875512,Unknown,True
