date,log_return_5d,log_return_21d,realized_vol_21d,sma50_dist,sma200_dist,ema_ratio,high_vol_flag
2022-11-04,-0.03311102639067141,0.008405260159365806,0.26709426101709266,-0.0073557332634717615,-0.07258709065522911,1.0019844903405117,1.0
2022-11-07,-0.016341546754073732,0.04621552907648474,0.24730116475237515,0.0033938968215932825,-0.06310396024844404,1.002434125369785,0.0
2022-11-08,-0.0065751416708642995,0.05926116006326057,0.24486091326684273,0.00982011059731099,-0.05743533699157855,1.0031905779956825,0.0
2022-11-09,-0.001976079989689447,0.04479698069506517,0.25653794107293304,-0.009808994172968367,-0.0762231674047783,1.002084989428551,1.0
2022-11-10,0.06187134749252518,0.10159784167862665,0.31103923689259344,0.044543597998081864,-0.02505202072636936,1.0055266195645542,1.0
2022-11-11,0.057212976677149134,0.08518134221845906,0.3020010138897482,0.05444638152020869,-0.015277641812168428,1.008936019993169,1.0
2022-11-14,0.03914981933104736,0.09969041986473405,0.28951532838050154,0.04522837779692367,-0.023150314548621143,1.010777751697596,1.0
2022-11-15,0.04226180257936461,0.08281110249328408,0.2801160575233318,0.053623205109700846,-0.01425486428567314,1.0127809291073981,1.0
2022-11-16,0.055420971143857065,0.06347187248591614,0.2813931775945957,0.04562407545196211,-0.021141627844522396,1.0135639454509389,1.0
2022-11-17,-0.0011405992095154366,0.06751918242292682,0.27990190006281257,0.042672927661310985,-0.023437219235316362,1.0137670622243216,1.0
2022-11-18,-0.0062426124183420275,0.08046994242683007,0.27669536350533197,0.047900906038959225,-0.01845046485866871,1.014131087111512,1.0
2022-11-21,-0.001342409101492042,0.052816301123334554,0.26772185617839755,0.044903175843249744,-0.021425804423371726,1.0139556197210358,1.0
2022-11-22,0.0035319849871915214,0.05402127429021572,0.26830087305260236,0.05849313741758258,-0.007737349787819417,1.0147379182798821,1.0
2022-11-23,0.017472046966749567,0.04446073371615792,0.26435793864880713,0.064631715252159,-0.0009470061381740137,1.0156854112396767,1.0
2022-11-25,0.020312697608506534,0.05179953904689276,0.2621855312087166,0.06361648287921436,-0.0005506173392436075,1.0162202637647166,1.0
2022-11-28,-0.0003030198635129225,0.041068345301502295,0.2687715230857647,0.04607214328842504,-0.01590862691270241,1.0151511640578752,1.0
2022-11-29,0.0016207429296575637,0.015837116474217556,0.257237974081752,0.04390678402693091,-0.017108095957347493,1.0140030292422666,1.0
2022-11-30,0.019268079877240815,0.05410125518942875,0.27572368124119484,0.07545031686746063,0.014185458248092158,1.0154524327767491,1.0
2022-12-01,0.012249986987714906,0.05775054629803555,0.274851126224653,0.0729611830044945,0.0138630158087289,1.0163375864802062,1.0
2022-12-02,0.011319712495570872,0.0820128235448915,0.25570653972114876,0.06988126550459688,0.013129521456751706,1.016740438092189,1.0
2022-12-05,0.009251844339175985,0.07420983651101655,0.26252552000598706,0.04888943842954642,-0.004693921722200118,1.0153982405536996,1.0
2022-12-06,-0.0035485738248263177,0.04539956904006264,0.2665902379789555,0.03217038551706176,-0.018607941343373242,1.013019945214272,1.0
2022-12-07,-0.03626575958583905,0.03417704235766343,0.26551980635599937,0.02880861958384108,-0.019892789400794295,1.0108739010043855,1.0
2022-12-08,-0.027726244836806857,0.03659944313209299,0.2660832796969435,0.03547488316417593,-0.011957613659413557,1.009686706946345,1.0
2022-12-09,-0.03407050294268135,0.0499184005918996,0.25565017217403585,0.02610440013712711,-0.018970225141056507,1.0080518328920773,1.0
2022-12-12,-0.0016028835526003607,0.010735605465891015,0.1824945617064342,0.0386341457921987,-0.004406904369879878,1.0078189542750084,0.0
2022-12-13,0.020458299044827058,0.008644891407740565,0.1813178592540855,0.044573474795533724,0.003501221655702092,1.0081525792975456,0.0
2022-12-14,0.015746735949240188,0.010773958975856257,0.18013914686833807,0.036740221984426655,-0.0025952897363280183,1.007804061470279,0.0
2022-12-15,-0.01682262296999553,-0.022484982417267152,0.1975749618702909,0.010721634175191255,-0.026467951190084212,1.0054811982594027,0.0
2022-12-16,-0.021200658312593882,-0.026703228864551343,0.19987404008400786,-0.0018237266917085861,-0.0374121265845661,1.0026678516098335,0.0
2022-12-19,-0.04403073134854508,-0.03215452667313863,0.20137657898002692,-0.011260643297893521,-0.04503185447660862,0.9997639214834741,0.0
2022-12-20,-0.050204662186547684,-0.03531715836046509,0.20047310921547937,-0.011048164025404036,-0.043337938329374236,0.9975876651013568,0.0
2022-12-21,-0.028948797810359465,-0.01683242973301117,0.20826938209710064,0.0021698901375946386,-0.02874812695198973,0.9970702420479869,0.0
2022-12-22,-0.01855204442609872,-0.04456901183055739,0.206650577571252,-0.013447950313871266,-0.04212436671239986,0.995565423009262,0.0
2022-12-23,-0.0009395880685561641,-0.045114863899857076,0.20637934071633432,-0.008728968975794407,-0.036180355269705915,0.9948831765175021,0.0
2022-12-27,0.003624946427528492,-0.04884227785411668,0.20634530716018756,-0.013935007291445901,-0.03959477442426471,0.9940931353203535,0.0
2022-12-28,-0.010248461594027283,-0.04526260009097946,0.2036932197395237,-0.026769289846530177,-0.05112819556934953,0.9925572177004137,0.0
2022-12-29,-0.007250108007733347,-0.025703280670402083,0.2151667090568974,-0.009967532017409889,-0.03361099467427679,0.9928387915701825,0.0
2022-12-30,0.004481651401209545,-0.05935544030658866,0.18040751646828937,-0.013370852833600554,-0.03559459491867613,0.992931043546774,0.0
2023-01-03,-0.0054730543011062074,-0.06283790518867818,0.18030242532323656,-0.018389423425445518,-0.039009778006660445,0.9927487068192888,0.0
2023-01-04,0.0061686711013068905,-0.053993319248380654,0.18400376358787662,-0.011381104868134964,-0.030918032664910677,0.9932983042030278,0.0
2023-01-05,0.007195452984928177,-0.047318991445227256,0.17824456513760434,-0.022777445080575106,-0.041260992876161535,0.9928943153638888,0.0
2023-01-06,0.012028230122538489,-0.010126476723037275,0.19202573810717713,-0.00062116873733977,-0.018584495967316646,0.9944672013601714,0.0
2023-01-09,0.014098770606766387,-0.008990910113983222,0.19197509502048893,-0.0015777263682211493,-0.018517625805222707,0.9957162154417762,0.0
2023-01-10,0.025305814519782983,-0.00980584583208834,0.1915551144581245,0.004785899848784155,-0.010957667493679109,0.9973063381419106,0.0
2023-01-11,0.030183965814051084,0.010261149508351785,0.19485858849597074,0.017061194840142346,0.002202986867834399,0.9996004837337228,0.0
2023-01-12,0.045297071886870995,-0.00041903600575589643,0.1887262974362634,0.020107437627995387,0.00652842964803745,1.0016923239654507,0.0
