date,open,high,low,close,volume
2010-01-04,83.6542900585502,84.41363056715778,83.01405922513885,84.36896514892578,118944600
2010-01-05,84.31685608817332,84.62952538448558,84.01162724196406,84.59230041503906,111579900
2010-01-06,84.51042263821236,84.86031695618865,84.44342449888946,84.65187072753906,116074400
2010-01-07,84.49551840729193,85.11341651296566,84.25729338434614,85.00919342041016,131091100
2010-01-08,84.78583968899576,85.32929344196,84.61461850198386,85.29206848144531,126402800
2010-01-11,85.6717668680196,85.70898615982551,85.04642256050808,85.41120910644531,106375700
2010-01-12,84.8454105406426,85.02407788347232,84.28707012453386,84.61463165283203,163333500
2010-01-13,84.83054188390845,85.56755552763238,84.3987628252508,85.32933044433594,161822000
2010-01-14,85.23254276992698,85.71643903937152,85.18043121350887,85.56010437011719,115718800
2010-01-15,85.41118906060575,85.49307375525386,84.27216994779245,84.5997314453125,212283100
2010-01-19,84.5848732441304,85.70899479731258,84.5625348511158,85.6568832397461,139172700
2010-01-20,85.07622535648329,85.2027812077772,84.10843830103391,84.785888671875,216490200
2010-01-21,84.8082143079001,85.068772121083,83.05130208224637,83.15552520751953,344859600
2010-01-22,82.7833039895819,83.18530993536946,81.21250518797547,81.30184173583984,345942400
2010-01-25,82.046304065525,82.19519832673176,81.45074405990395,81.71874237060547,186937500
2010-01-26,81.39861445413882,82.23985128300338,81.17528161582874,81.37628173828125,211168800
2010-01-27,81.2720471886544,81.94950309970378,80.64670851359374,81.76338958740234,271863600
2010-01-28,82.0313883167961,82.07605373941173,80.33403410060232,80.82537078857422,316104000
2010-01-29,81.17526490983118,81.74105154063228,79.82035885588112,79.94691467285156,310677600
2010-02-01,80.51268968119315,81.1975858997645,80.02879351469271,81.19013977050781,187865000
2010-02-02,81.33905139960092,82.32917097323156,81.05615522450616,82.17283630371094,216327900
2010-02-03,81.80060888202243,82.2472858553328,81.52516451884586,81.76338958740234,172730700
2010-02-04,81.13059107632219,81.16781036465493,79.22478517007998,79.23967742919922,356715700
2010-02-05,79.32902295047751,79.56724802289175,77.85500708983125,79.40347290039062,493585800
2010-02-08,79.46302314436058,79.90225398421389,78.77068065557053,78.83023834228516,224166900
2010-02-09,79.7533773323065,80.51272380582232,79.11314625845391,79.82038116455078,337820500
2010-02-10,79.69380319467858,80.10324948798323,78.99401461520766,79.66402435302734,240511500
2010-02-11,79.55982501847515,80.58716980359935,79.09826135457212,80.49783325195312,223591600
2010-02-12,79.6491451772905,80.47548970973313,79.29181037823838,80.43082427978516,304622100
2010-02-16,81.04123286510941,81.77824046169101,80.26700031042793,81.69635009765625,159317500
2010-02-17,82.09095943427975,82.19518824420685,81.6963996300176,82.0835189819336,168845100
2010-02-18,81.94949229935222,82.7386116699953,81.91971345974058,82.56739044189453,193708600
2010-02-19,82.35151095689967,83.05874004883354,82.15795130910567,82.7386245727539,222684900
2010-02-22,83.04386143997404,83.0661941553765,82.50785355137775,82.75352478027344,132346900
2010-02-23,82.53018373215734,82.78329540525753,81.53261226352127,81.74850463867188,207497000
2010-02-24,81.9941677526358,82.63439868329951,81.78572152957945,82.50039672851562,176350700
2010-02-25,81.32417839417413,82.44830587040798,81.10084553329168,82.38874816894531,259634700
2010-02-26,82.46315149364241,82.72371488817706,81.9718148999767,82.4408187866211,173589300
2010-03-01,82.783306584736,83.37887222969925,82.76097386700349,83.29698181152344,147709700
2010-03-02,83.65429434014398,83.92973867298271,83.37884432757221,83.5277328491211,160992400
2010-03-03,83.74360758399797,84.10094791225302,83.39371338417561,83.60216522216797,150785000
2010-03-04,83.7138452045613,83.97440863333439,83.40117590571312,83.85529327392578,135770400
2010-03-05,84.3987309548533,85.12084638360375,84.19772524438305,85.05384826660156,176118800
2010-03-08,85.06132328164884,85.25487724965119,84.91987519141084,85.06876373291016,114631200
2010-03-09,84.81567573889242,85.60479545251381,84.7710102999283,85.21023559570312,154556700
2010-03-10,85.24743372010302,85.8206608318833,85.17298945204155,85.58988189697266,186088800
2010-03-11,85.38886413816508,85.96954297888644,85.12830639666159,85.94720458984375,160791100
2010-03-12,86.31943171768754,86.33432397707695,85.71642584627094,85.95465087890625,162074800
2010-03-15,85.80579135158426,86.03657033249003,85.31444886093166,85.97701263427734,146816800
2010-03-16,86.21518843301006,86.74374992291168,85.97696345615675,86.661865234375,168673000
2010-03-17,86.92243315592565,87.45844083692698,86.66931589334962,87.17554473876953,177468100
2010-03-18,87.18300907519026,87.30211876265909,86.78100323048301,87.13089752197266,196509100
2010-03-19,86.68985748291016,87.67658322419926,86.35347020782733,86.68985748291016,226641100
2010-03-22,86.19651863243149,87.31032739986884,86.14419246707783,87.1533432006836,184477800
2010-03-23,87.28040740969183,87.84104722092525,86.99634625533481,87.76629638671875,182941600
2010-03-24,87.43737590835318,87.78123426901647,86.39832403285777,87.34019470214844,196072600
2010-03-25,87.93075501694995,88.33441640707876,87.09353646242232,87.19818878173828,223396300
2010-03-26,87.36264783718723,87.77378033711689,86.80200794381813,87.14586639404297,205808500
2010-03-29,87.58688365844667,87.85599121215992,87.22807738891088,87.69901275634766,134513500
2010-03-30,87.80366130667758,88.08024564259321,87.39252890277999,87.7588119506836,145772500
2010-03-31,87.42241482961819,87.84850077296142,87.168260903434,87.45979309082031,161078700
2010-04-01,88.05780029296875,88.39418179020305,87.53453321567831,88.05780029296875,161215200
2010-04-05,88.39420737459729,88.83524127431616,88.14752449689543,88.77544403076172,105847600
2010-04-06,88.52129973654469,89.14174258407667,88.4241242086552,88.9847640991211,110384200
2010-04-07,88.80536626898645,89.22397558736323,88.06531746283919,88.47645568847656,184576300
2010-04-08,88.16996242902589,88.93243585596282,87.90833162689019,88.78292846679688,158704000
2010-04-09,88.96982220792275,89.4033851489801,88.80537260905152,89.36601257324219,133006500
2010-04-12,89.47809413699446,89.73973056036408,89.3734418488954,89.50799560546875,110279000
2010-04-13,89.41832364492831,89.73228060311858,88.95485929965432,89.57530212402344,125043600
2010-04-14,89.90418130847874,90.59190368652344,89.76215646019122,90.59190368652344,161609000
2010-04-15,90.44242876626595,90.87599166580853,90.41252728666396,90.66668701171875,144615300
2010-04-16,90.34524053992264,90.66667427157213,88.76797335707548,89.22396087646484,366786700
2010-04-19,88.96231333657744,89.65003003186077,88.55865204940099,89.5603256225586,217947800
2010-04-20,90.12099284660533,90.43495552339886,89.60520801932644,90.36019897460938,157708000
2010-04-21,90.41251546439554,90.62182579424015,89.69489715715547,90.19573974609375,192910100
2010-04-22,89.56033792262792,90.57696522185225,89.04455318188951,90.46483612060547,115360300
2010-04-23,90.40504322202861,91.09276004482248,90.17330821414556,91.05538177490234,177335500
2010-04-26,91.08528485667928,91.28711839281058,90.62182623898576,90.7115249633789,143457300
2010-04-27,90.18826341921334,90.70404819398813,88.39421479024543,88.56614685058594,355853300
2010-04-28,88.99219163249731,89.4631268266757,88.40912167854978,89.2388687133789,300674100
2010-04-29,89.7770832161376,90.53207944415486,89.75465854553364,90.34519958496094,193775000
2010-04-30,90.36017833990302,90.45735954988739,88.79038812690943,88.81281280517578,270000900
2010-05-03,89.23887914480854,90.21065681186134,89.10432540172616,89.96397399902344,182747900
2010-05-04,88.96231145131647,88.97725933432228,87.39999248203124,87.84850311279297,360353400
2010-05-05,87.13089961715995,88.05782820683578,86.68986570528638,87.32525634765625,328973200
