date,open,high,low,close,volume
2016-09-19,1.55783524621886,1.6010130716794968,1.5507207706688326,1.562005877494812,417128000.0
2016-09-20,1.5799152127554779,1.5799152127554779,1.539190717692266,1.5477771759033203,331112000.0
2016-09-21,1.5524384582421846,1.594144313722449,1.5521931475718582,1.591200351715088,336212000.0
2016-09-22,1.6005227390521541,1.6054293030358977,1.5860483577528532,1.595125436782837,308732000.0
2016-09-23,1.5970882378797058,1.601749374468886,1.5862937497691125,1.593408226966858,276132000.0
2016-09-26,1.5752543729745203,1.5848221933438669,1.5585720735015955,1.5784436464309692,230040000.0
2016-09-27,1.5723100881485317,1.6348688738289787,1.5715741561086127,1.632415533065796,402752000.0
2016-09-28,1.6348685778062382,1.6395298308269,1.6174502358830725,1.6383031606674194,319788000.0
2016-09-29,1.6356042329664378,1.6586651835322463,1.6203939233002826,1.6535131931304932,336684000.0
2016-09-30,1.6625912267447558,1.697427922292051,1.6527780961362843,1.6809909343719482,429932000.0
2016-10-03,1.6809908950863932,1.7052784103220113,1.6763296406090433,1.6792734861373901,242596000.0
2016-10-04,1.6817268503951497,1.7099395713784609,1.6630818322288448,1.675593614578247,281624000.0
2016-10-05,1.6898220498066665,1.7069950802025893,1.6687238154822635,1.6738756895065308,305440000.0
2016-10-06,1.6537592038243998,1.6640629542976544,1.6255463698906325,1.6520419120788574,360212000.0
2016-10-07,1.6630813277073662,1.6674972701937008,1.6353592365651752,1.640020489692688,286260000.0
2016-10-10,1.6486075087065144,1.6574393966881191,1.6306985390002995,1.6461542844772339,287876000.0
2016-10-11,1.6407565941236273,1.6432098176001397,1.609845112654902,1.62235689163208,388540000.0
2016-10-12,1.6157331126512429,1.6383033312157536,1.6022400904374419,1.6297168731689453,419920000.0
2016-10-13,1.6105815611106489,1.614261455729119,1.5627424631435733,1.6032216548919678,390116000.0
2016-10-14,1.6228479157481053,1.633887716586948,1.6093548908238202,1.6189227104187012,330636000.0
2016-10-17,1.6186767850286616,1.6338870961312837,1.6073916777648787,1.6095995903015137,195328000.0
2016-10-18,1.6319248298909828,1.6434552501437334,1.6253009739368862,1.634132742881775,269372000.0
2016-10-19,1.623093223861671,1.638303539619695,1.614751958433169,1.630698323249817,199060000.0
2016-10-20,1.649834036228364,1.667007072270969,1.6265278816535855,1.6616097688674927,312084000.0
2016-10-21,1.6557215386227233,1.6598920534813293,1.6412471579746342,1.656948208808899,279508000.0
2016-10-24,1.668233615669596,1.7366802099582062,1.667988188003079,1.734717607498169,339836000.0
2016-10-25,1.7317733827640787,1.7737245450276746,1.723432235837221,1.763175368309021,397460000.0
