days_ahead,Bull,Sideways,Unknown,Bear,High-Volatility
1,0.00015357573182092437,0.05923932113658871,0.9404634844848109,0.00014361806655187066,5.802275833179015e-10
2,0.00040754961326550603,0.08095857871575773,0.9182619924097335,0.0003706003806225757,1.2788806204969417e-06
3,0.0007570558422824694,0.10137422573654553,0.897193148614747,0.0006710038085262507,4.565997898609483e-06
4,0.0011969247178052983,0.12056139203815243,0.8771951753220584,0.0010360124322010425,1.0495489782560717e-05
5,0.0017219265771498907,0.13859088838049005,0.8582097702562825,0.0014578017371430626,1.9613048934086496e-05
6,0.002326830181141556,0.155529459750665,0.8401819050386122,0.0019294198793547567,3.238515022593068e-05
7,0.003006450262929527,0.17144002304358721,0.8230596359208282,0.002444683904130276,4.920686852425001e-05
8,0.003755685859469936,0.18638189018088958,0.8067939260249221,0.0029980889817344592,7.040895298333238e-05
9,0.004569550819553975,0.20041097764772953,0.791338478319956,0.0035847289787139347,9.626423404587357e-05
10,0.00544319768758254,0.21358000335047764,0.7766495786273966,0.004200226903806505,0.00012699343073592246
11,0.006371935993976494,0.22593867162889847,0.7626859480002399,0.004840673958611479,0.0001627704182727991
12,0.007351245837637846,0.2375338471934096,0.7494086038703754,0.005502576089186589,0.00020372700938963835
13,0.008376787520185327,0.24840971870067796,0.7367807294033656,0.0061828070788763215,0.0002499572968938529
14,0.009444407883128617,0.2586079526285747,0.7247675505405967,0.00687856734784096,0.0003015215998579256
15,0.010550143905421696,0.26816783806382516,0.71333622024601,0.00758734773345222,0.0003584500512897776
16,0.011690224037956456,0.2771264229720889,0.7024557095087023,0.00830689762012504,0.000420745861126115
17,0.012861067681796816,0.28551864248027226,0.6920967046839233,0.009035196869153326,0.000488388284853094
18,0.014059283156815292,0.29337743966423996,0.6822315107836674,0.009770431070347765,0.0005613353249283985
19,0.015281664455581866,0.30073387930143247,0.6728339603544201,0.010510969699157352,0.0006395261894068776
20,0.01652518703274548,0.30761725501692183,0.663879327603891,0.011255346816726042,0.0007228835297142094
21,0.0177870028417683,0.31405519022289025,0.6553442474609467,0.012002243997062094,0.0008113154773312274
22,0.0190644347978784,0.32007373322517124,0.6472066392736281,0.012750475206108596,0.0009047174972120702
23,0.02035497081776716,0.3256974468461455,0.6394456348692474,0.013498973392805385,0.001002974074032921
24,0.02165625756224057,0.33094949289075054,0.6320415107182538,0.014246778582924204,0.001105960245829279
25,0.022966093987190565,0.33585171176148954,0.6249756239599645,0.014993027293147571,0.0012135429982060926
26,0.024282424790408902,0.34042469750895543,0.6182303520634826,0.015736943106073965,0.0013255825310772016
27,0.025603333826510907,0.34468786858640293,0.6117890359112681,0.016477828267024913,0.0014419334087912969
28,0.026927037549214036,0.34865953456017695,0.6056359261059909,0.017215056181100117,0.0015624456035160687
29,0.028251878529118493,0.35235695901224434,0.5997561323135489,0.017948064704219113,0.0016869654408673061
30,0.02957631908569802,0.3557964188565766,0.5941355754665482,0.0186763501352014,0.001815336455973933
31,0.030898935064197598,0.3589932602776128,0.5887609426632037,0.019399461827530638,0.00194740016745329
32,0.03221840978135229,0.36196195148641486,0.5836196446065582,0.020116997349547996,0.002082996776124526
33,0.033533528158114854,0.3647161324783436,0.578699775438215,0.020828598130620383,0.0022219657947040164
34,0.03484317105276069,0.36726866196506996,0.5739900748294677,0.021533945538501086,0.002364146614198431
35,0.03614630980369827,0.3696316616434319,0.5694798922008446,0.02223275733979055,0.002509379012232425
36,0.03744200098793969,0.3718165579540047,0.5651591529486979,0.022924784501241847,0.0026575036081136413
37,0.03872938139838451,0.3738341214732192,0.5610183265646009,0.023609808294750016,0.0028083622690430895
38,0.040007663240756525,0.3756945040743998,0.5570483965400085,0.02428763767331299,0.002961798471519919
39,0.041276129549137064,0.3774072739851554,0.5532408319549037,0.024958106889139093,0.003117657621662445
40,0.042534129817497525,0.37898144886111224,0.5495875606550453,0.02562107332847378,0.003275787337868812
41,0.04378107584339558,0.38042552698898985,0.5460809439279536,0.02627641554069066,0.003436037698968035
42,0.04501643777901763,0.38174751672545754,0.5427137525929664,0.026924031441793346,0.0035982614607627597
43,0.04623974038398572,0.38295496427204784,0.539479144425574,0.027563836674753293,0.0037623142436367407
44,0.04745055947376623,0.3840549798806095,0.5363706428408251,0.028195763111105956,0.003928054693690676
45,0.048648518557091014,0.3850542625783377,0.5333821167649112,0.028819757479979592,0.004095344619677912
46,0.049833285655504836,0.38595912349630035,0.5305077616280882,0.029435780112268946,0.004264049107835033
47,0.051004570297963917,0.3867755078805621,0.5277420814159137,0.030043803789017613,0.004434036616540033
48,0.05216212068331167,0.3875090158604769,0.5250798717193661,0.030643812684261244,0.004605179052581391
49,0.053305721003432435,0.38816492204445613,0.5225162037277948,0.031235801393630146,0.004777351830683726
50,0.05443518891992047,0.3887481940095027,0.5200464091118334,0.031819774040931864,0.004950433917808872
51,0.05555037318718643,0.38926350974702484,0.5176660657464042,0.03239574345574769,0.005124307863634109
52,0.056651151415049145,0.38971527412388096,0.5153709842267704,0.032963730415795485,0.005298859818501237
53,0.057737427964016715,0.390107634414255,0.5131571951332488,0.03352376294844637,0.005473979540030322
54,0.0588091319666426,0.39044449495480466,0.5110209370027049,0.03407587568634524,0.005649560389499652
55,0.0598662154685419,0.3907295309725451,0.5089586449673182,0.03462010927258366,0.005825499319008051
56,0.06090865168286679,0.39096620163212986,0.5069669400233274,0.03515650981131606,0.00600169685035675
57,0.06193643335226325,0.39115776234654476,0.5050426188945701,0.035685128360103784,0.006178057046514847
58,0.06294957121256028,0.39130727639273993,0.5031826444576104,0.03620602046062144,0.006354487476464718
59,0.0639480925526754,0.39141762587137574,0.5013841366971122,0.0367192457046724,0.0065308991741609675
60,0.06493203986545339,0.3914915220476444,0.49964436416188157,0.03722486733273883,0.006707206592278429
