date,regime,state_id,state_0,state_1,state_2,state_3,state_4
2010-10-18,Unknown,1,0.00010559879942992795,0.9706923050933794,0.0,0.029202096107190656,0.0
2010-10-19,Unknown,1,0.0008712345435400489,0.6069117043596958,0.0,0.39221706109676413,0.0
2010-10-20,Unknown,1,4.514641947565664e-05,0.8967428991567891,0.0,0.10321195442373525,0.0
2010-10-21,Unknown,1,0.00011743378472531257,0.9597164297382197,0.0,0.040166136477055,0.0
2010-10-22,Unknown,1,0.00019181297618696454,0.9459949691619779,0.0,0.053813217861834954,0.0
2010-10-25,Unknown,1,7.29315421126853e-05,0.99025602902362,0.0,0.009671039434267434,0.0
2010-10-26,Unknown,1,0.0011885005222725088,0.9946537662880802,0.0,0.004157733189647188,0.0
2010-10-27,Unknown,1,0.0005544475313899681,0.9962423779652124,0.0,0.0032031745033977836,0.0
2010-10-28,Unknown,1,0.0009003168246400148,0.9954602454113064,0.0,0.0036394377640532813,0.0
2010-10-29,Unknown,1,0.0017417089958136965,0.9929579028277067,0.0,0.005300388176479497,0.0
2010-11-01,Unknown,1,0.0028026625410144616,0.9895909913682939,0.0,0.007606346090691941,0.0
2010-11-02,Unknown,1,0.0053526028042735225,0.9449023798495848,0.0,0.04974501734614147,0.0
2010-11-03,Unknown,1,0.001946415531633803,0.9970512268754486,0.0,0.0010023575929172606,0.0
2010-11-04,Unknown,1,0.018937892118699305,0.719260915590163,0.0,0.2618011922911377,0.0
2010-11-05,Unknown,1,0.029545697986380015,0.9029729803037868,0.0,0.06748132170983316,0.0
2010-11-08,Unknown,1,0.06972214587874065,0.8952874443464365,0.0,0.03499040977482299,0.0
2010-11-09,Unknown,1,0.08235977589843796,0.897236466924711,0.0,0.020403757176851008,0.0
2010-11-10,Unknown,1,0.06038412372550879,0.9276454644080768,0.0,0.011970411866414593,0.0
2010-11-11,Unknown,1,0.023896838998737655,0.9618220185308215,0.0,0.014281142470440942,0.0
2010-11-12,Sideways,0,0.4814384329014737,0.2199610228809427,0.0,0.29860054421758353,0.0
2010-11-15,Sideways,0,0.5042489468030558,0.33721598273492315,0.0,0.15853507046202106,0.0
2010-11-16,Sideways,0,0.5168925136870884,0.0010332842871588498,0.0,0.4820742020257527,0.0
2010-11-17,Sideways,0,0.7567387428068653,0.023657049131603734,0.0,0.2196042080615309,0.0
2010-11-18,Sideways,0,0.5540408069994525,0.29955000067748827,0.0,0.14640919232305943,0.0
2010-11-19,Unknown,1,0.3295409111463415,0.6577948131635332,0.0,0.012664275690124918,0.0
2010-11-22,Unknown,1,0.3935175250772523,0.5965115055265164,0.0,0.009970969396231395,0.0
2010-11-23,Sideways,0,0.950375421217796,0.005698526067437129,0.0,0.043926052714766975,0.0
2010-11-24,Sideways,0,0.9593302641223646,0.01633262635973372,0.0,0.024337109517901676,0.0
2010-11-26,Sideways,0,0.8935284314988007,0.03881835352317379,0.0,0.0676532149780253,0.0
2010-11-29,Sideways,0,0.8547617703799741,0.029051401268669397,0.0,0.1161868283513565,0.0
2010-11-30,Sideways,0,0.8805134135424131,0.011043148662066534,0.0,0.10844343779552038,0.0
2010-12-01,Sideways,0,0.7547287489111502,0.00022230405965269667,0.0,0.24504894702919716,0.0
2010-12-02,Bull,3,0.21517074730222138,3.279632273579824e-05,0.0,0.7847964563750428,0.0
