days_ahead,max_prob,kl_div,entropy,top_regime,is_useful
1,0.9404634844848109,0.6382073099253154,0.2277677292623602,Unknown,True
2,0.9182619924097335,0.5823526740164304,0.2879439360878029,Unknown,True
3,0.897193148614747,0.5348907304516468,0.33976961241630016,Unknown,True
4,0.8771951753220584,0.4937705624431956,0.3852874895281452,Unknown,True
5,0.8582097702562825,0.4576768321916099,0.425805484507682,Unknown,True
6,0.8401819050386122,0.4256890181935944,0.46223738521346225,Unknown,True
7,0.8230596359208282,0.39712587427222934,0.4952583224789401,Unknown,True
8,0.8067939260249221,0.3714633085092144,0.5253868302508293,Unknown,True
9,0.791338478319956,0.34828655269485376,0.553032622079782,Unknown,True
10,0.7766495786273966,0.32726023307671825,0.5785264723375445,Unknown,True
11,0.7626859480002399,0.3081085862455799,0.6021399575854925,Unknown,True
12,0.7494086038703754,0.29060180160467286,0.6240990760062324,Unknown,True
13,0.7367807294033656,0.27454625637547864,0.6445939783847434,Unknown,True
14,0.7247675505405967,0.25977732878630466,0.663786124503721,Unknown,True
15,0.71333622024601,0.24615397924058272,0.6818136747290929,Unknown,True
16,0.7024557095087023,0.23355458008296182,0.6987956357944534,Unknown,True
17,0.6920967046839233,0.2218736497058148,0.7148351047155332,Unknown,True
18,0.6822315107836674,0.2110192561397514,0.7300218454056923,Unknown,True
19,0.6728339603544201,0.2009109258237908,0.7444343620469125,Unknown,True
20,0.663879327603891,0.1914779400338066,0.7581415865187904,Unknown,True
21,0.6553442474609467,0.18265793324161822,0.7712042654212361,Unknown,True
22,0.6472066392736281,0.17439572976217813,0.7836761101650414,Unknown,True
23,0.6394456348692474,0.16664237069118223,0.7956047579800932,Unknown,True
24,0.6320415107182538,0.15935429441583904,0.8070325804284944,Unknown,True
25,0.6249756239599645,0.15249264224646886,0.8179973677605267,Unknown,True
26,0.6182303520634826,0.1460226668612242,0.8285329113203884,Unknown,True
27,0.6117890359112681,0.13991322588593855,0.8386695015908446,Unknown,True
28,0.6056359261059909,0.13413634646243927,0.8484343559449867,Unknown,True
29,0.5997561323135489,0.12866684938284692,0.8578519874582278,Unknown,True
30,0.5941355754665482,0.12348202349094418,0.8669445240180534,Unknown,True
31,0.5887609426632037,0.11856134272319123,0.8757319853045346,Unknown,True
32,0.5836196446065582,0.11388621948948127,0.8842325238932037,Unknown,True
33,0.578699775438215,0.10943978915691414,0.8924626356740764,Unknown,True
34,0.5739900748294677,0.1052067212580095,0.90043734392716,Unknown,True
35,0.5694798922008446,0.10117305374246413,0.9081703607012511,Unknown,True
36,0.5651591529486979,0.09732604716264652,0.9156742285753698,Unknown,True
37,0.5610183265646009,0.09365405615344866,0.9229604454149545,Unknown,True
38,0.5570483965400085,0.09014641595691895,0.9300395743479655,Unknown,True
39,0.5532408319549037,0.08679334206688205,0.9369213408637513,Unknown,True
40,0.5495875606550453,0.0835858413407538,0.9436147186677356,Unknown,True
41,0.5460809439279536,0.08051563315465876,0.9501280056980244,Unknown,True
42,0.5427137525929664,0.07757507937144158,0.9564688915182834,Unknown,True
43,0.539479144425574,0.07475712205540204,0.9626445171385204,Unknown,True
44,0.5363706428408251,0.07205522800753385,0.9686615281768224,Unknown,True
45,0.5333821167649112,0.06946333931473611,0.9745261221566107,Unknown,True
46,0.5305077616280882,0.06697582920917111,0.9802440906323634,Unknown,True
47,0.5277420814159137,0.06458746262234391,0.9858208567493026,Unknown,True
48,0.5250798717193661,0.06229336089479273,0.9912615087670956,Unknown,True
49,0.5225162037277948,0.060088970168340944,0.9965708300123324,Unknown,True
50,0.5200464091118334,0.057970033045173466,1.001753325667915,Unknown,True
51,0.5176660657464042,0.05593256314785307,1.006813246758266,Unknown,True
52,0.5153709842267704,0.05397282225784316,1.011754611646373,Unknown,True
53,0.5131571951332488,0.052087299748037816,1.0165812253212543,Unknown,True
54,0.5110209370027049,0.050272694058001915,1.0212966967216912,Unknown,True
55,0.5089586449673182,0.04852589598970368,1.0259044543133955,Unknown,True
56,0.5069669400233274,0.046843973627056716,1.030407760111635,Unknown,True
57,0.5050426188945701,0.045224158705024255,1.0348097223192336,Unknown,True
58,0.5031826444576104,0.04366383427378462,1.0391133067304337,Unknown,True
59,0.5013841366971122,0.0421605235208567,1.0433213470339884,Unknown,True
60,0.49964436416188157,0.04071187962943527,1.0474365541337634,Unknown,True
